Symbol;Name;Sector;Price;Price/Earnings;Dividend Yield;Earnings/Share;52 Week Low;52 Week High;Market Cap;EBITDA;Price/Sales;Sales;Price/Book;SEC Filings
BF.B;Brown-Forman Corp.;Consumer Staples;63,33;37,04;11.216.964;1,7;699.028;45.415;5498033502.00;1139000000.00;18.411.398;1.165.993.835;12,36;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BF.B
CHRW;C. H. Robinson Worldwide;Industrials;90,47;26;1.987.685;3,57;100,18;63,41;12932483889.00;868096000.00;0,85282737;77;9,31;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHRW
CA;CA, Inc.;Information Technology;32,66;14,32;3;1,85;36,56;30,45;14175422936.00;1613000000.00;33.742.425;1.102.027.601;2,44;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CA
COG;Cabot Oil & Gas;Energy;23,01;60,55;10.269.576;-0,92;29,57;21,4;10808821635.00;404951000.00;8.636.729;198.731.134;4,21;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COG
CDNS;Cadence Design Systems;Information Technology;36,82;34,09;0;0,74;46;29,01;10890625200.00;455607000.00;5.751.737;211.778.956;10,98;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CDNS
CPB;Campbell Soup;Consumer Staples;44,83;14,84;3.125;2,89;64,23;43,5;13467193376.00;1683000000.00;23.898.203;1.071.356.440;7,91;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CPB
COF;Capital One Financial;Financials;91,8;11,85;16.306.564;3,45;106,5;76,05;47637260000.00;0.00;15.931.405;1.462.502.979;0,94;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COF
CAH;Cardinal Health Inc.;Health Care;66,63;12,29;28.394.227;4,04;84,88;54,66;20493281175.00;1913000000.00;0,21131156;14;3,03;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CAH
KMX;Carmax Inc;Consumer Discretionary;64,34;19,44;0;3,97;77,64;54,29;11827453706.00;1339628000.00;0,6913859;44;3,55;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KMX
CCL;Carnival Corp.;Consumer Discretionary;66,76;17,48;26.041.667;3,58;72,7;54,75;49180044050.00;4711000000.00;28.147.783;1.879.145.993;2;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CCL
CAT;Caterpillar Inc.;Industrials;145,99;21,22;20.215.108;1,26;173,24;90,34;91822049046.00;8136000000.00;20.468.428;2.988.185.804;5,75;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CAT
CBOE;CBOE Holdings;Financials;111,15;35,06;0,9426963;2,27;138,54;76,75;12998295607.00;488406000.00;8.249.042;916.881.018;5,15;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CBOE
CBG;CBRE Group;Real Estate;41,92;15,82;0;1,69;46,6;30,43;14440591731.00;1652961000.00;14.622.321;612.967.696;3,74;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CBG
CBS;CBS Corp.;Consumer Discretionary;51,8;12,05;13.473.054;2,81;70.095;52,75;20431395736.00;2841000000.00;21.055.017;1.090.649.881;6,91;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CBS
CELG;Celgene Corp.;Health Care;91,02;13,27;0;3,58;147,17;92,85;74921079154.00;5233000000.00;5.830.071;530.653.062;7,49;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CELG
CNC;Centene Corporation;Health Care;100,36;19,12;0;3,23;112,42;65,03;18012494506.00;2063000000.00;0,5028663;50;2,58;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CNC
